T,baseline_median_ms,optimized_median_ms,speedup,time_reduction_pct,baseline_elements_per_s,optimized_elements_per_s,baseline_ns_per_element,optimized_ns_per_element,baseline_cv_pct,optimized_cv_pct,block_speedup_median,block_speedup_min,block_speedup_max
32,0.2133465,0.1378545,1.54762086113,35.3846911011,1228770953.45,1901743132.58,0.813852310181,0.525873184204,30.9306994086,25.9457122272,1.68467337878,1.46512862051,1.86353571479
64,0.4708525,0.324533,1.45086169973,31.0754429466,1113498704.22,1615574024.99,0.898079872131,0.618997573853,11.5707950916,40.3521787469,1.47720093751,1.00248081287,1.94983359589
128,1.0760395,0.633295,1.69911257787,41.1457479024,974478133.533,1655970500.03,1.02619123459,0.603957176208,9.10654220394,24.0641910948,1.70078664301,1.64456893018,1.75771767872
256,2.2369305,1.363555,1.64051358398,39.0434794465,937517839.985,1538068509.61,1.06665158272,0.650193691254,6.61838382397,13.5185333765,1.64983378467,1.22236038424,1.80627330764
512,4.471262,2.4723575,1.80850139998,44.7055998955,938058774.88,1696479607.21,1.06603193283,0.589455962181,6.68859325205,10.9494866261,1.78931311697,1.64056802444,1.94334604805
1024,9.092691,5.5945715,1.62527031784,38.4717736476,922567366.305,1499454570.1,1.08393323421,0.666924893856,3.14533178841,12.1453606062,1.56454759436,1.35786397438,1.74846249453
2048,18.35221,10.404623,1.76385151101,43.3058852313,914180264.108,1612484951.33,1.09387695789,0.620163857937,6.10709870514,8.40056250896,1.77662598248,1.57781776878,1.85846234058
4096,37.829915,23.910459,1.58214925945,36.7948381592,886996164.627,1403545322.87,1.12741932273,0.712587207556,3.93555187231,9.71284280971,1.53480963077,1.41965026165,1.61758074874
