variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum,time_s,vectors_per_s,elements_per_s,ns_per_element
optimized_v4,8192,32,1,9,1,136479,42,176382.847261,0.000136479,60023886.4587,1920764366.68,0.520626068115
optimized_v4,8192,32,1,9,2,123557,42,176382.847261,0.000123557,66301383.1673,2121644261.35,0.471332550049
optimized_v4,8192,32,1,9,3,109028,42,176382.847261,0.000109028,75136662.1418,2404373188.54,0.415908813477
optimized_v4,8192,32,1,9,4,101338,42,176382.847261,0.000101338,80838382.4429,2586828238.17,0.386573791504
optimized_v4,8192,32,1,9,5,97695,42,176382.847261,9.7695e-05,83852807.2061,2683289830.6,0.372676849365
optimized_v4,8192,32,1,9,6,98154,42,176382.847261,9.8154e-05,83460684.2309,2670741895.39,0.37442779541
optimized_v4,8192,128,1,10,1,603784,42,642254.941847,0.000603784,13567765.956,1736674042.37,0.575813293457
optimized_v4,8192,128,1,10,2,572384,42,642254.941847,0.000572384,14312070.2186,1831944987.98,0.545867919922
optimized_v4,8192,128,1,10,3,603345,42,642254.941847,0.000603345,13577638.0015,1737937664.19,0.575394630432
optimized_v4,8192,128,1,10,4,587368,42,642254.941847,0.000587368,13946963.4028,1785211315.56,0.560157775879
optimized_v4,8192,128,1,10,5,830711,42,642254.941847,0.000830711,9861431.95407,1262263290.12,0.792227745056
optimized_v4,8192,128,1,10,6,772110,42,642254.941847,0.00077211,10609887.1922,1358065560.61,0.73634147644
baseline_v3,8192,512,1,11,1,4345655,42,2682111.50325,0.004345655,1885101.32535,965171878.578,1.03608489037
baseline_v3,8192,512,1,11,2,4198424,42,2682111.50325,0.004198424,1951208.35818,999018679.39,1.00098228455
baseline_v3,8192,512,1,11,3,4652317,42,2682111.50325,0.004652317,1760843.038,901551635.454,1.10919880867
baseline_v3,8192,512,1,11,4,4467773,42,2682111.50325,0.004467773,1833575.69868,938790757.722,1.06520009041
baseline_v3,8192,512,1,11,5,4384554,42,2682111.50325,0.004384554,1868377.03447,956609041.649,1.04535913467
baseline_v3,8192,512,1,11,6,4303786,42,2682111.50325,0.004303786,1903440.36623,974561467.508,1.02610254288
baseline_v3,8192,2048,1,12,1,17349137,42,10990127.9506,0.017349137,472184.87006,967034613.883,1.03408914804
baseline_v3,8192,2048,1,12,2,17592883,42,10990127.9506,0.017592883,465642.839778,953636535.865,1.04861754179
baseline_v3,8192,2048,1,12,3,17237779,42,10990127.9506,0.017237779,475235.237672,973281766.752,1.02745169401
baseline_v3,8192,2048,1,12,4,17720049,42,10990127.9506,0.017720049,462301.204698,946792867.221,1.05619722605
baseline_v3,8192,2048,1,12,5,17264920,42,10990127.9506,0.01726492,474488.152856,971751737.048,1.02906942368
baseline_v3,8192,2048,1,12,6,17279492,42,10990127.9506,0.017279492,474088.011384,970932247.314,1.02993798256
baseline_v3,8192,256,1,13,1,2130715,42,1301273.52326,0.002130715,3844718.79158,984248010.644,1.01600408554
baseline_v3,8192,256,1,13,2,2132326,42,1301273.52326,0.002132326,3841814.05657,983504398.483,1.0167722702
baseline_v3,8192,256,1,13,3,2123221,42,1301273.52326,0.002123221,3858288.89221,987721956.405,1.01243066788
baseline_v3,8192,256,1,13,4,2283360,42,1301273.52326,0.00228336,3587695.32619,918450003.504,1.08879089355
baseline_v3,8192,256,1,13,5,2342091,42,1301273.52326,0.002342091,3497729.16595,895418666.482,1.11679601669
baseline_v3,8192,256,1,13,6,2523783,42,1301273.52326,0.002523783,3245920.90524,830955751.743,1.20343351364
baseline_v3,8192,1024,1,14,1,9133165,42,5385565.36728,0.009133165,896950.837963,918477658.074,1.088758111
baseline_v3,8192,1024,1,14,2,8767113,42,5385565.36728,0.008767113,934401.096461,956826722.776,1.04512131214
baseline_v3,8192,1024,1,14,3,9103561,42,5385565.36728,0.009103561,899867.645199,921464468.684,1.08522903919
baseline_v3,8192,1024,1,14,4,8801613,42,5385565.36728,0.008801613,930738.490774,953076214.553,1.04923403263
baseline_v3,8192,1024,1,14,5,8883798,42,5385565.36728,0.008883798,922128.125831,944259200.851,1.05903124809
baseline_v3,8192,1024,1,14,6,8831590,42,5385565.36728,0.00883159,927579.292064,949841195.074,1.0528075695
optimized_v4,8192,2048,1,15,1,10479145,42,10990127.9506,0.010479145,781743.167024,1601010006.06,0.624605715275
optimized_v4,8192,2048,1,15,2,9976794,42,10990127.9506,0.009976794,821105.457324,1681623976.6,0.594663262367
optimized_v4,8192,2048,1,15,3,9821636,42,10990127.9506,0.009821636,834076.92975,1708189552.13,0.585415124893
optimized_v4,8192,2048,1,15,4,10427627,42,10990127.9506,0.010427627,785605.392291,1608919843.41,0.621535003185
optimized_v4,8192,2048,1,15,5,9518950,42,10990127.9506,0.00951895,860599.120701,1762506999.2,0.567373633385
optimized_v4,8192,2048,1,15,6,10362483,42,10990127.9506,0.010362483,790544.11959,1619034356.92,0.617652118206
baseline_v3,8192,128,1,16,1,1054695,42,642254.941847,0.001054695,7767174.39639,994198322.738,1.00583553314
baseline_v3,8192,128,1,16,2,1008656,42,642254.941847,0.001008656,8121698.57712,1039577417.87,0.961929321289
baseline_v3,8192,128,1,16,3,1042203,42,642254.941847,0.001042203,7860272.90269,1006114931.54,0.993922233582
baseline_v3,8192,128,1,16,4,990545,42,642254.941847,0.000990545,8270194.6908,1058584920.42,0.944657325745
baseline_v3,8192,128,1,16,5,973847,42,642254.941847,0.000973847,8411999.01011,1076735873.29,0.928732872009
baseline_v3,8192,128,1,16,6,1075008,42,642254.941847,0.001075008,7620408.40626,975412276.002,1.02520751953
optimized_v4,8192,32,2,1,7,177660,42,176382.847261,0.00017766,46110548.2382,1475537543.62,0.677719116211
optimized_v4,8192,32,2,1,8,174787,42,176382.847261,0.000174787,46868474.2,1499791174.4,0.666759490967
optimized_v4,8192,32,2,1,9,176118,42,176382.847261,0.000176118,46514268.8425,1488456602.96,0.671836853027
optimized_v4,8192,32,2,1,10,150799,42,176382.847261,0.000150799,54323967.6656,1738366965.3,0.575252532959
optimized_v4,8192,32,2,1,11,150515,42,176382.847261,0.000150515,54426469.1227,1741647011.93,0.574169158936
optimized_v4,8192,32,2,1,12,178316,42,176382.847261,0.000178316,45940913.8832,1470109244.26,0.680221557617
baseline_v3,8192,256,2,2,7,2231985,42,1301273.52326,0.002231985,3670275.56189,939590543.843,1.06429338455
baseline_v3,8192,256,2,2,8,2089722,42,1301273.52326,0.002089722,3920138.65959,1003555496.86,0.996457099915
baseline_v3,8192,256,2,2,9,2085995,42,1301273.52326,0.002085995,3927142.68251,1005348526.72,0.994679927826
baseline_v3,8192,256,2,2,10,2222751,42,1301273.52326,0.002222751,3685523.0298,943493895.628,1.05989027023
baseline_v3,8192,256,2,2,11,2297630,42,1301273.52326,0.00229763,3565413.05606,912745742.352,1.0955953598
baseline_v3,8192,256,2,2,12,2301508,42,1301273.52326,0.002301508,3559405.39855,911207782.028,1.0974445343
optimized_v4,8192,1024,2,3,7,5334134,42,5385565.36728,0.005334134,1535769.44261,1572627909.24,0.635878324509
optimized_v4,8192,1024,2,3,8,5494034,42,5385565.36728,0.005494034,1491071.95187,1526857678.71,0.654939889908
optimized_v4,8192,1024,2,3,9,4732770,42,5385565.36728,0.00473277,1730910.22805,1772452073.52,0.564190149307
optimized_v4,8192,1024,2,3,10,4955604,42,5385565.36728,0.004955604,1653078.01027,1692751882.52,0.590754032135
optimized_v4,8192,1024,2,3,11,5640136,42,5385565.36728,0.005640136,1452447.24595,1487305979.86,0.67235660553
optimized_v4,8192,1024,2,3,12,4844775,42,5385565.36728,0.004844775,1690893.79796,1731475249.11,0.577542185783
optimized_v4,8192,512,2,4,7,2422932,42,2682111.50325,0.002422932,3381027.61448,1731086138.61,0.5776720047
optimized_v4,8192,512,2,4,8,2918001,42,2682111.50325,0.002918001,2807401.36827,1437389500.55,0.695705652237
optimized_v4,8192,512,2,4,9,2352164,42,2682111.50325,0.002352164,3482750.35244,1783168180.45,0.560799598694
optimized_v4,8192,512,2,4,10,2736392,42,2682111.50325,0.002736392,2993723.12154,1532786238.23,0.652406692505
optimized_v4,8192,512,2,4,11,2380687,42,2682111.50325,0.002380687,3441023.53648,1761804050.68,0.567600011826
optimized_v4,8192,512,2,4,12,2355224,42,2682111.50325,0.002355224,3478225.42569,1780851417.95,0.561529159546
optimized_v4,8192,4096,2,5,7,30273580,42,22068289.6236,0.03027358,270598.984329,1108373439.81,0.90222299099
optimized_v4,8192,4096,2,5,8,23619163,42,22068289.6236,0.023619163,346837.015351,1420644414.88,0.703905910254
optimized_v4,8192,4096,2,5,9,22383843,42,22068289.6236,0.022383843,365978.263875,1499046968.83,0.667090505362
optimized_v4,8192,4096,2,5,10,21783595,42,22068289.6236,0.021783595,376062.812405,1540353279.61,0.649201720953
optimized_v4,8192,4096,2,5,11,22660269,42,22068289.6236,0.022660269,361513.801976,1480760532.9,0.67532864213
optimized_v4,8192,4096,2,5,12,23155265,42,22068289.6236,0.023155265,353785.629316,1449105937.68,0.690080672503
optimized_v4,8192,256,2,6,7,1621146,42,1301273.52326,0.001621146,5053215.44142,1293623153,0.773022651672
optimized_v4,8192,256,2,6,8,1576553,42,1301273.52326,0.001576553,5196146.27608,1330213446.68,0.751759052277
optimized_v4,8192,256,2,6,9,1389930,42,1301273.52326,0.00138993,5893821.99104,1508818429.71,0.662770271301
optimized_v4,8192,256,2,6,10,1282800,42,1301273.52326,0.0012828,6386030.55815,1634823822.89,0.611686706543
optimized_v4,8192,256,2,6,11,1273437,42,1301273.52326,0.001273437,6432984.12093,1646843934.96,0.607222080231
optimized_v4,8192,256,2,6,12,1310182,42,1301273.52326,0.001310182,6252566.43733,1600657007.96,0.624743461609
baseline_v3,8192,512,2,7,7,4585146,42,2682111.50325,0.004585146,1786638.85512,914759093.822,1.09318399429
baseline_v3,8192,512,2,7,8,4555978,42,2682111.50325,0.004555978,1798077.16367,920615507.801,1.08622980118
baseline_v3,8192,512,2,7,9,4610888,42,2682111.50325,0.004610888,1776664.27812,909652110.396,1.09932136536
baseline_v3,8192,512,2,7,10,4797295,42,2682111.50325,0.004797295,1707628.98675,874306041.217,1.14376425743
baseline_v3,8192,512,2,7,11,5162065,42,2682111.50325,0.005162065,1586961.80695,812524445.159,1.23073220253
baseline_v3,8192,512,2,7,12,4724206,42,2682111.50325,0.004724206,1734048.00722,887832579.697,1.1263384819
optimized_v4,8192,64,2,8,7,320216,42,330132.910215,0.000320216,25582731.6561,1637294825.99,0.610763549805
optimized_v4,8192,64,2,8,8,276097,42,330132.910215,0.000276097,29670731.6631,1898926826.44,0.526613235474
optimized_v4,8192,64,2,8,9,271251,42,330132.910215,0.000271251,30200810.3196,1932851860.45,0.517370223999
optimized_v4,8192,64,2,8,10,276749,42,330132.910215,0.000276749,29600829.6326,1894453096.49,0.527856826782
optimized_v4,8192,64,2,8,11,307199,42,330132.910215,0.000307199,26666753.4725,1706672222.24,0.585935592651
optimized_v4,8192,64,2,8,12,298357,42,330132.910215,0.000298357,27457039.7209,1757250542.14,0.56907081604
baseline_v3,8192,32,2,9,7,355778,42,176382.847261,0.000355778,23025594.6124,736819027.596,1.35718536377
baseline_v3,8192,32,2,9,8,373924,42,176382.847261,0.000373924,21908195.2482,701062247.943,1.42640686035
baseline_v3,8192,32,2,9,9,492369,42,176382.847261,0.000492369,16637928.058,532413697.857,1.87823867798
baseline_v3,8192,32,2,9,10,298146,42,176382.847261,0.000298146,27476471.259,879247080.29,1.13733673096
baseline_v3,8192,32,2,9,11,203278,42,176382.847261,0.000203278,40299491.337,1289583722.78,0.775444030762
baseline_v3,8192,32,2,9,12,199871,42,176382.847261,0.000199871,40986436.2514,1311565960.04,0.762447357178
baseline_v3,8192,64,2,10,7,630223,42,330132.910215,0.000630223,12998573.5208,831908705.331,1.20205497742
baseline_v3,8192,64,2,10,8,576092,42,330132.910215,0.000576092,14219950.9801,910076862.723,1.09880828857
baseline_v3,8192,64,2,10,9,653105,42,330132.910215,0.000653105,12543159.2164,802762189.847,1.24569892883
baseline_v3,8192,64,2,10,10,456402,42,330132.910215,0.000456402,17949088.7419,1148741679.48,0.870517730713
baseline_v3,8192,64,2,10,11,545269,42,330132.910215,0.000545269,15023777.2549,961521744.313,1.04001808167
baseline_v3,8192,64,2,10,12,461856,42,330132.910215,0.000461856,17737130.1878,1135176332.02,0.880920410156
optimized_v4,8192,2048,2,11,7,10207180,42,10990127.9506,0.01020718,802572.306945,1643668084.62,0.608395338058
optimized_v4,8192,2048,2,11,8,11762781,42,10990127.9506,0.011762781,696433.94704,1426296723.54,0.701116383076
optimized_v4,8192,2048,2,11,9,11021899,42,10990127.9506,0.011021899,743247.601888,1522171088.67,0.656956374645
optimized_v4,8192,2048,2,11,10,10498380,42,10990127.9506,0.01049838,780310.86701,1598076655.64,0.625752210617
optimized_v4,8192,2048,2,11,11,11652646,42,10990127.9506,0.011652646,703016.293467,1439777369.02,0.694551825523
optimized_v4,8192,2048,2,11,12,11833992,42,10990127.9506,0.011833992,692243.158522,1417713988.65,0.705360889435
optimized_v4,8192,128,2,12,7,844016,42,642254.941847,0.000844016,9705977.13787,1242365073.65,0.804916381836
optimized_v4,8192,128,2,12,8,1446088,42,642254.941847,0.001446088,5664938.78657,725112164.682,1.37909698486
optimized_v4,8192,128,2,12,9,691490,42,642254.941847,0.00069149,11846881.3721,1516400815.63,0.659456253052
optimized_v4,8192,128,2,12,10,624077,42,642254.941847,0.000624077,13126585.3412,1680202923.68,0.59516620636
optimized_v4,8192,128,2,12,11,589383,42,642254.941847,0.000589383,13899281.1126,1779107982.42,0.562079429626
optimized_v4,8192,128,2,12,12,625930,42,642254.941847,0.00062593,13087725.4645,1675228859.46,0.596933364868
baseline_v3,8192,128,2,13,7,1060371,42,642254.941847,0.001060371,7725597.92752,988876534.722,1.01124858856
baseline_v3,8192,128,2,13,8,1236450,42,642254.941847,0.00123645,6625419.5479,848053702.131,1.17917060852
baseline_v3,8192,128,2,13,9,1077071,42,642254.941847,0.001077071,7605812.43019,973543991.065,1.02717494965
baseline_v3,8192,128,2,13,10,1062064,42,642254.941847,0.001062064,7713282.81535,987300200.365,1.01286315918
baseline_v3,8192,128,2,13,11,1143942,42,642254.941847,0.001143942,7161202.22878,916633885.284,1.09094810486
baseline_v3,8192,128,2,13,12,1089517,42,642254.941847,0.001089517,7518928.11218,962422798.359,1.03904438019
baseline_v3,8192,4096,2,14,7,36397895,42,22068289.6236,0.036397895,225067.960661,921878366.867,1.08474180102
baseline_v3,8192,4096,2,14,8,39555259,42,22068289.6236,0.039555259,207102.676284,848292562.059,1.17883858085
baseline_v3,8192,4096,2,14,9,39442883,42,22068289.6236,0.039442883,207692.728749,850709416.956,1.17548951507
baseline_v3,8192,4096,2,14,10,37504314,42,22068289.6236,0.037504314,218428.205353,894681929.124,1.11771565676
baseline_v3,8192,4096,2,14,11,36305061,42,22068289.6236,0.036305061,225643.471581,924235659.596,1.08197513223
baseline_v3,8192,4096,2,14,12,34633424,42,22068289.6236,0.034633424,236534.510708,968845355.862,1.03215646744
baseline_v3,8192,1024,2,15,7,8939445,42,5385565.36728,0.008939445,916387.986055,938381297.72,1.06566488743
baseline_v3,8192,1024,2,15,8,9068911,42,5385565.36728,0.009068911,903305.810367,924985149.816,1.08109843731
baseline_v3,8192,1024,2,15,9,8822031,42,5385565.36728,0.008822031,928584.358862,950870383.475,1.0516680479
baseline_v3,8192,1024,2,15,10,9049163,42,5385565.36728,0.009049163,905277.095793,927003746.092,1.07874429226
baseline_v3,8192,1024,2,15,11,8979492,42,5385565.36728,0.008979492,912301.05222,934196277.473,1.07043886185
baseline_v3,8192,1024,2,15,12,8913854,42,5385565.36728,0.008913854,919018.866587,941075319.385,1.0626142025
baseline_v3,8192,2048,2,16,7,18156499,42,10990127.9506,0.018156499,451188.304529,924033647.676,1.08221167326
baseline_v3,8192,2048,2,16,8,18154837,42,10990127.9506,0.018154837,451229.608947,924118239.123,1.08211261034
baseline_v3,8192,2048,2,16,9,17959823,42,10990127.9506,0.017959823,456129.216864,934152636.137,1.07048887014
baseline_v3,8192,2048,2,16,10,17736851,42,10990127.9506,0.017736851,461863.269867,945895976.687,1.05719870329
baseline_v3,8192,2048,2,16,11,17597690,42,10990127.9506,0.01759769,465515.644383,953376039.696,1.04890406132
baseline_v3,8192,2048,2,16,12,17816477,42,10990127.9506,0.017816477,459799.094961,941668546.481,1.06194478273
optimized_v4,8192,2048,3,1,13,10002786,42,10990127.9506,0.010002786,818971.834447,1677254316.95,0.596212506294
optimized_v4,8192,2048,3,1,14,9863995,42,10990127.9506,0.009863995,830495.149278,1700854065.72,0.587939918041
optimized_v4,8192,2048,3,1,15,10718778,42,10990127.9506,0.010718778,764266.225124,1565217229.05,0.638888955116
optimized_v4,8192,2048,3,1,16,10730979,42,10990127.9506,0.010730979,763397.263195,1563437595.02,0.639616191387
optimized_v4,8192,2048,3,1,17,9800417,42,10990127.9506,0.009800417,835882.799681,1711887973.75,0.584150373936
optimized_v4,8192,2048,3,1,18,10956728,42,10990127.9506,0.010956728,747668.464527,1531225015.35,0.653071880341
optimized_v4,8192,512,3,2,13,3026301,42,2682111.50325,0.003026301,2706934.9678,1385950703.52,0.721526384354
optimized_v4,8192,512,3,2,14,2595319,42,2682111.50325,0.002595319,3156452.05849,1616103453.95,0.618772268295
optimized_v4,8192,512,3,2,15,2665423,42,2682111.50325,0.002665423,3073433.37249,1573597886.71,0.635486364365
optimized_v4,8192,512,3,2,16,2473532,42,2682111.50325,0.002473532,3311863.35976,1695674040.2,0.589735984802
optimized_v4,8192,512,3,2,17,2403509,42,2682111.50325,0.002403509,3408350.04154,1745075221.27,0.573041200638
optimized_v4,8192,512,3,2,18,2641850,42,2682111.50325,0.00264185,3100857.35375,1587638965.12,0.629866123199
optimized_v4,8192,4096,3,3,13,22705746,42,22068289.6236,0.022705746,360789.731375,1477794739.71,0.676683962345
optimized_v4,8192,4096,3,3,14,25472648,42,22068289.6236,0.025472648,321599.858798,1317273021.63,0.759144067764
optimized_v4,8192,4096,3,3,15,23238522,42,22068289.6236,0.023238522,352518.116255,1443914204.18,0.692561924458
optimized_v4,8192,4096,3,3,16,29631617,42,22068289.6236,0.029631617,276461.456693,1132386126.62,0.883091002703
optimized_v4,8192,4096,3,3,17,24201755,42,22068289.6236,0.024201755,338487.849332,1386446230.86,0.721268504858
optimized_v4,8192,4096,3,3,18,26258570,42,22068289.6236,0.02625857,311974.338283,1277846889.61,0.78256636858
baseline_v3,8192,64,3,4,13,551520,42,330132.910215,0.00055152,14853495.7934,950623730.78,1.05194091797
baseline_v3,8192,64,3,4,14,459770,42,330132.910215,0.00045977,17817604.4544,1140326685.08,0.876941680908
baseline_v3,8192,64,3,4,15,503706,42,330132.910215,0.000503706,16263455.2695,1040861137.25,0.960742950439
baseline_v3,8192,64,3,4,16,452822,42,330132.910215,0.000452822,18090993.8121,1157823603.98,0.863689422607
baseline_v3,8192,64,3,4,17,500518,42,330132.910215,0.000500518,16367043.7427,1047490799.53,0.954662322998
baseline_v3,8192,64,3,4,18,463784,42,330132.910215,0.000463784,17663395.0287,1130457281.84,0.88459777832
baseline_v3,8192,4096,3,5,13,37675715,42,22068289.6236,0.037675715,217434.49328,890611684.476,1.12282380462
baseline_v3,8192,4096,3,5,14,38356982,42,22068289.6236,0.038356982,213572.590252,874793329.673,1.14312714338
baseline_v3,8192,4096,3,5,15,37984115,42,22068289.6236,0.037984115,215669.102729,883380644.777,1.13201484084
baseline_v3,8192,4096,3,5,16,38052074,42,22068289.6236,0.038052074,215283.92907,881802973.473,1.13404017687
baseline_v3,8192,4096,3,5,17,37605491,42,22068289.6236,0.037605491,217840.527597,892274801.039,1.12073096633
baseline_v3,8192,4096,3,5,18,38197465,42,22068289.6236,0.038197465,214464.493913,878446567.069,1.13837316632
baseline_v3,8192,2048,3,6,13,19179987,42,10990127.9506,0.019179987,427111.864049,874725097.572,1.14321631193
baseline_v3,8192,2048,3,6,14,18446619,42,10990127.9506,0.018446619,444092.220911,909500868.425,1.0995041728
baseline_v3,8192,2048,3,6,15,18546408,42,10990127.9506,0.018546408,441702.781477,904607296.464,1.1054520607
baseline_v3,8192,2048,3,6,16,18367850,42,10990127.9506,0.01836785,445996.673536,913401187.401,1.09480917454
baseline_v3,8192,2048,3,6,17,18088632,42,10990127.9506,0.018088632,452881.124454,927500542.882,1.07816648483
baseline_v3,8192,2048,3,6,18,18277984,42,10990127.9506,0.018277984,448189.472099,917892038.859,1.08945274353
optimized_v4,8192,256,3,7,13,1256905,42,1301273.52326,0.001256905,6517596.7953,1668504779.6,0.599339008331
optimized_v4,8192,256,3,7,14,1296029,42,1301273.52326,0.001296029,6320846.21563,1618136631.2,0.617994785309
optimized_v4,8192,256,3,7,15,1232261,42,1301273.52326,0.001232261,6647942.27846,1701873223.29,0.587587833405
optimized_v4,8192,256,3,7,16,1265877,42,1301273.52326,0.001265877,6471402.82982,1656679124.43,0.603617191315
optimized_v4,8192,256,3,7,17,1245943,42,1301273.52326,0.001245943,6574939.62404,1683184543.76,0.594111919403
