variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
optimized_v4,16384,32,2,1,8,336194,42,352736.71994500834
optimized_v4,16384,32,2,1,9,286742,42,352736.71994500834
optimized_v4,16384,32,2,1,10,288177,42,352736.71994500834
optimized_v4,16384,32,2,1,11,285587,42,352736.71994500834
optimized_v4,16384,32,2,1,12,345021,42,352736.71994500834
baseline_v3,16384,256,2,2,7,4566599,42,2602783.1043406166
baseline_v3,16384,256,2,2,8,5134271,42,2602783.1043406166
baseline_v3,16384,256,2,2,9,4749905,42,2602783.1043406166
baseline_v3,16384,256,2,2,10,4870718,42,2602783.1043406166
baseline_v3,16384,256,2,2,11,5234027,42,2602783.1043406166
baseline_v3,16384,256,2,2,12,4894425,42,2602783.1043406166
optimized_v4,16384,1024,2,3,7,12505110,42,10771937.672788229
optimized_v4,16384,1024,2,3,8,11855477,42,10771937.672788229
optimized_v4,16384,1024,2,3,9,11371700,42,10771937.672788229
optimized_v4,16384,1024,2,3,10,14616009,42,10771937.672788229
optimized_v4,16384,1024,2,3,11,16113603,42,10771937.672788229
optimized_v4,16384,1024,2,3,12,12109588,42,10771937.672788229
optimized_v4,16384,512,2,4,7,5889179,42,5365761.8426366011
optimized_v4,16384,512,2,4,8,6018571,42,5365761.8426366011
optimized_v4,16384,512,2,4,9,5743876,42,5365761.8426366011
optimized_v4,16384,512,2,4,10,5579007,42,5365761.8426366011
optimized_v4,16384,512,2,4,11,6358159,42,5365761.8426366011
optimized_v4,16384,512,2,4,12,5947793,42,5365761.8426366011
optimized_v4,16384,4096,2,5,7,48136159,42,44120056.654433712
optimized_v4,16384,4096,2,5,8,48370023,42,44120056.654433712
optimized_v4,16384,4096,2,5,9,48657716,42,44120056.654433712
optimized_v4,16384,4096,2,5,10,60262173,42,44120056.654433712
optimized_v4,16384,4096,2,5,11,56431193,42,44120056.654433712
optimized_v4,16384,4096,2,5,12,63558121,42,44120056.654433712
optimized_v4,16384,256,2,6,7,3039203,42,2602783.1043406166
optimized_v4,16384,256,2,6,8,4412435,42,2602783.1043406166
optimized_v4,16384,256,2,6,9,3263282,42,2602783.1043406166
optimized_v4,16384,256,2,6,10,2948269,42,2602783.1043406166
optimized_v4,16384,256,2,6,11,3147896,42,2602783.1043406166
optimized_v4,16384,256,2,6,12,3048252,42,2602783.1043406166
baseline_v3,16384,512,2,7,7,9205870,42,5365761.8426366011
baseline_v3,16384,512,2,7,8,9709444,42,5365761.8426366011
baseline_v3,16384,512,2,7,9,10155890,42,5365761.8426366011
baseline_v3,16384,512,2,7,10,10653643,42,5365761.8426366011
baseline_v3,16384,512,2,7,11,10478009,42,5365761.8426366011
baseline_v3,16384,512,2,7,12,11127245,42,5365761.8426366011
optimized_v4,16384,64,2,8,7,638745,42,660083.65979530779
optimized_v4,16384,64,2,8,8,587761,42,660083.65979530779
optimized_v4,16384,64,2,8,9,733599,42,660083.65979530779
optimized_v4,16384,64,2,8,10,802871,42,660083.65979530779
optimized_v4,16384,64,2,8,11,818043,42,660083.65979530779
optimized_v4,16384,64,2,8,12,743154,42,660083.65979530779
baseline_v3,16384,32,2,9,7,447231,42,352736.71994500834
baseline_v3,16384,32,2,9,8,417331,42,352736.71994500834
baseline_v3,16384,32,2,9,9,611812,42,352736.71994500834
